6353435,141227,2,231339;231353,34163;34136
5556956,121439,5,231332;231345;231355;244973;231338,34112;34076;34170;34165;34174
5514409,40707,0,,
5514432,59829,6,231353;231332;231345;231325;231355;244973,34164;34112;34170;34136;34165;34174
5514467,30813,5,231332;231345;231355;244973;231338,34112;34076;34170;34165;34174
5514521,117332,6,231332;231345;231355;244973;231365;231339,34112;34163;34170;34165;34053;34174
5514725,137315,7,231353;231332;231345;231325;231355;231338;231365,34136;34112;34170;34164;34165;34076;34053
5515462,43667,5,231353;231332;244973;231338;231365,34112;34076;34136;34053;34174
5515544,136522,5,231332;231325;231355;244973;231339,34164;34112;34163;34165;34174
6615660,137298,6,231353;231332;231345;231325;231355;244973,34164;34112;34170;34136;34165;34174
5516313,123485,0,,
5516425,553,2,231299;231338,34149;34076
5546117,120845,5,231332;231355;244973;231338;231365,34112;34076;34165;34053;34174
5516595,136948,5,231332;231325;244973;231338;231365,34164;34112;34076;34053;34174
5516701,118717,7,231299;231345;231325;231355;244973;231365;231339,34149;34170;34164;34165;34174;34053;34163
5516703,133207,5,231332;231325;231355;244973;231338,34164;34112;34076;34165;34174
6173560,115364,5,231353;231332;231325;244973;231338,34164;34112;34076;34136;34174
5517231,125931,4,231299;231325;231355;231365,34149;34164;34165;34053
5517232,31650,5,231353;231355;244973;231365;231339,34163;34136;34165;34053;34174
5517240,125933,4,231353;231332;231325;231338,34164;34112;34076;34136
5517243,120172,4,231353;231345;231325;231355,34164;34170;34136;34165
5517251,41861,7,231353;231332;231345;231325;231355;244973;231338,34136;34112;34170;34164;34165;34174;34076
5517253,133938,6,231332;231299;231345;231355;244973;231338,34149;34112;34076;34170;34165;34174
5517261,30809,6,231353;231332;231299;231345;231355;244973,34149;34112;34170;34136;34165;34174
5517269,122599,2,231299;231338,34149;34076
5517283,137313,6,231332;231345;231325;231355;244973;231338,34164;34112;34076;34170;34165;34174
5517292,121721,6,231353;231332;231345;231325;231355;231339,34164;34112;34163;34170;34136;34165
5517295,125975,5,231353;231332;231345;231355;231365,34112;34170;34136;34165;34053
5517306,135244,5,231332;231299;231345;231325;231355,34149;34164;34112;34170;34165
5517315,135233,4,231299;231325;231353;231355,34149;34164;34136;34165
6360003,20033,6,231332;231345;231325;231355;244973;231339,34164;34112;34163;34170;34165;34174
6615660,137316,6,231353;231332;231345;231325;231355;244973,34164;34112;34170;34136;34165;34174
5517404,25627,6,231332;231299;231345;231355;244973;231338,34149;34112;34076;34170;34165;34174
5517466,62504,7,231353;231332;231345;231325;231355;244973;231338,34136;34112;34170;34164;34165;34174;34076
5517470,58,4,231345;231325;231355;244973,34164;34170;34165;34174
5517480,122777,2,231299;231338,34149;34076
5518479,119873,5,231332;231345;231325;231355;244973,34164;34112;34170;34165;34174
5517537,135390,7,231353;231332;231345;231325;231355;244973;231365,34136;34112;34170;34164;34165;34174;34053
5517575,132004,2,231299;231353,34149;34136
5517616,114882,7,231332;231345;231355;244973;231338;231365;231339,34112;34170;34165;34174;34076;34053;34163
6615660,122755,6,231353;231332;231345;231325;231355;244973,34164;34112;34170;34136;34165;34174
