REES46_USER_ID,ONLINETOURS_USER_ID,COUNT,REES46_ITEM_IDS,ONLINETOURS_ITEM_IDS
6353435,141227,2,231339;231353,34163;34136
5556956,121439,5,231332;231345;231355;244973;231338,34112;34076;34170;34165;34174
5514409,40707,6,231339;231332;272895;231355;244973;231714,34163;34112;34179;34165;34174;34171
5514432,59829,6,231353;231332;231345;231325;231355;244973,34164;34112;34170;34136;34165;34174
5514467,30813,5,231332;231345;231355;244973;231338,34112;34076;34170;34165;34174
5514521,117332,6,231332;231345;231355;244973;231365;231339,34112;34163;34170;34165;34053;34174
5514725,137315,7,231353;231332;231345;231325;231355;231338;231365,34136;34112;34170;34164;34165;34076;34053
5515462,43667,5,231353;231332;244973;231338;231365,34112;34076;34136;34053;34174
5515544,136522,5,231332;231325;231355;244973;231339,34164;34112;34163;34165;34174
6615660,137298,6,231353;231332;231345;231325;231355;244973,34164;34112;34170;34136;34165;34174
5516313,123485,3,272798;231345;255764,34178;34170;34177
5516425,553,2,231299;231338,34149;34076
5546117,120845,5,231332;231355;244973;231338;231365,34112;34076;34165;34053;34174
5516595,136948,5,231332;231325;244973;231338;231365,34164;34112;34076;34053;34174
5516701,118717,7,231299;231345;231325;231355;244973;231365;231339,34149;34170;34164;34165;34174;34053;34163
5516703,133207,5,231332;231325;231355;244973;231338,34164;34112;34076;34165;34174
6173560,115364,5,231353;231332;231325;244973;231338,34164;34112;34076;34136;34174
5517231,125931,4,231299;231325;231355;231365,34149;34164;34165;34053
5517232,31650,5,231353;231355;244973;231365;231339,34163;34136;34165;34053;34174
5517240,125933,4,231353;231332;231325;231338,34164;34112;34076;34136
5517243,120172,4,231353;231345;231325;231355,34164;34170;34136;34165
5517251,41861,7,231353;231332;231345;231325;231355;244973;231338,34136;34112;34170;34164;34165;34174;34076
5517253,133938,6,231332;231299;231345;231355;244973;231338,34149;34112;34076;34170;34165;34174
5517261,30809,6,231353;231332;231299;231345;231355;244973,34149;34112;34170;34136;34165;34174
5517269,122599,2,231299;231338,34149;34076
5517283,137313,6,231332;231345;231325;231355;244973;231338,34164;34112;34076;34170;34165;34174
5517292,121721,6,231353;231332;231345;231325;231355;231339,34164;34112;34163;34170;34136;34165
5517295,125975,5,231353;231332;231345;231355;231365,34112;34170;34136;34165;34053
5517306,135244,5,231332;231299;231345;231325;231355,34149;34164;34112;34170;34165
5517315,135233,4,231299;231325;231353;231355,34149;34164;34136;34165
6360003,20033,6,231332;231345;231325;231355;244973;231339,34164;34112;34163;34170;34165;34174
6615660,137316,6,231353;231332;231345;231325;231355;244973,34164;34112;34170;34136;34165;34174
5517404,25627,6,231332;231299;231345;231355;244973;231338,34149;34112;34076;34170;34165;34174
5517466,62504,7,231353;231332;231345;231325;231355;244973;231338,34136;34112;34170;34164;34165;34174;34076
5517470,58,4,231345;231325;231355;244973,34164;34170;34165;34174
5517480,122777,2,231299;231338,34149;34076
5518479,119873,5,231332;231345;231325;231355;244973,34164;34112;34170;34165;34174
5517537,135390,7,231353;231332;231345;231325;231355;244973;231365,34136;34112;34170;34164;34165;34174;34053
5517575,132004,2,231299;231353,34149;34136
5517616,114882,7,231332;231345;231355;244973;231338;231365;231339,34112;34170;34165;34174;34076;34053;34163
6615660,122755,6,231353;231332;231345;231325;231355;244973,34164;34112;34170;34136;34165;34174
5517806,36174,6,231332;231345;231325;231355;231338;231365,34164;34112;34076;34170;34165;34053
5517873,124619,7,231353;231332;231325;231355;244973;231365;231339,34136;34112;34164;34165;34174;34053;34163
5517910,140847,8,255764;231723;279753;231299;231365;272895;233800;231714,34177;34172;34183;34149;34053;34179;34153;34171
5517981,137683,5,231353;231332;231345;231355;231365,34112;34170;34136;34165;34053
5518057,22493,9,244973;272798;231355;231332;231714;255764;279753;278027;231365,34174;34178;34165;34112;34171;34177;34183;34181;34053
5518123,123487,5,231332;231325;231355;244973;231338,34164;34112;34076;34165;34174
5518338,134954,3,231299;231355;244973,34149;34165;34174
5518431,20288,5,231332;231345;231325;231355;244973,34164;34112;34170;34165;34174
5518479,136336,5,231332;231345;231325;231355;244973,34164;34112;34170;34165;34174
5518492,117004,2,231299;231338,34149;34076
5518668,115589,5,231332;231299;231345;231355;244973,34149;34112;34170;34165;34174
5518755,7998,5,231299;231355;244973;231338;231365,34149;34076;34165;34053;34174
5518479,139701,5,231332;231345;231325;231355;244973,34164;34112;34170;34165;34174
5520081,62480,6,231353;231332;231345;231325;231355;244973,34164;34112;34170;34136;34165;34174
5520289,124917,5,231332;231299;231345;231325;244973,34149;34164;34112;34170;34174
5520532,9,7,231353;231332;231345;231325;244973;231338;231365,34136;34112;34170;34164;34174;34076;34053
5520595,140320,5,231353;273090;255764;231365;231714,34136;34180;34177;34053;34171
5521028,138174,6,273090;231338;272895;231426;244973;231339,34180;34076;34179;34007;34174;34163
5521899,58867,7,231332;231299;231345;231355;244973;231338;231365,34112;34149;34170;34165;34174;34076;34053
5521496,92892,8,255764;272798;231345;231426;231353;231365;272895;231355,34177;34178;34170;34007;34136;34053;34179;34165
5521661,48649,5,231353;273090;231714;254909;231365,34136;34180;34171;34020;34053
5522017,62960,6,231332;231299;231345;231325;231355;244973,34149;34164;34112;34170;34165;34174
5522222,115965,6,231353;231332;231345;231325;231355;244973,34164;34112;34170;34136;34165;34174
5522333,51271,2,231299;231338,34149;34076
5522463,114697,4,231332;231345;231325;231355,34164;34112;34170;34165
5522481,131916,6,231332;231345;231325;244973;231338;231365,34164;34112;34076;34170;34053;34174
5522537,120166,2,231338;231353,34076;34136
5522539,107909,7,231332;231299;231345;231325;231355;244973;231338,34112;34149;34170;34164;34165;34174;34076
5522601,114900,6,231332;231325;231355;244973;231338;231339,34164;34112;34076;34163;34165;34174
5522665,114461,6,231353;231332;231325;231355;244973;231338,34164;34112;34076;34136;34165;34174
5522987,140850,3,244973;231353;231338,34174;34136;34076
5523416,29367,6,231332;231299;231345;231355;244973;231365,34149;34112;34170;34165;34053;34174
5523438,121223,9,272798;278027;231339;231332;279753;231338;231714;231723;244973,34178;34181;34163;34112;34183;34076;34171;34172;34174
5523527,60278,4,231338;255764;272895;272798,34076;34177;34179;34178
5523751,63459,10,231299;231723;279753;231332;231355;233800;273090;231426;231353;231714,34149;34172;34183;34112;34165;34153;34180;34007;34136;34171
5524067,114755,7,231353;231332;231299;231345;231325;231355;244973,34136;34112;34149;34170;34164;34165;34174
5524528,30950,3,231299;231338;231339,34149;34076;34163
5525250,129972,5,231332;231299;244973;231338;231339,34149;34112;34076;34163;34174
5525366,125942,5,231332;231299;231345;231355;231338,34149;34112;34076;34170;34165
5525702,129235,4,231345;231325;231355;244973,34164;34170;34165;34174
5525748,113411,5,231332;255764;231365;231353;231338,34112;34177;34053;34136;34076
5525772,114898,5,231353;231332;231325;231355;244973,34164;34112;34136;34165;34174
5526138,140921,0,,
5526314,141277,3,231299;231338;231339,34149;34076;34163
5527385,23787,6,231332;231299;231345;231325;244973;231338,34149;34164;34112;34076;34170;34174
5527605,126360,6,231353;231332;231345;231325;244973;231365,34164;34112;34170;34136;34053;34174
5528055,30314,5,231353;231332;231345;231355;231338,34112;34076;34170;34136;34165
5528637,111572,5,231299;278027;231345;279753;231339,34149;34181;34170;34183;34163
5528718,10866,4,254909;231365;272798;231339,34020;34053;34178;34163
5529175,114903,6,231332;231345;231325;231355;244973;231365,34164;34112;34170;34165;34053;34174
5529221,139071,3,231299;231338;231339,34149;34076;34163
5530481,45082,2,231299;231338,34149;34076
5530576,141295,0,,
5530599,141287,1,231355,34165
5530895,141296,9,231355;231714;278027;231723;231365;231339;255764;231299;273090,34165;34171;34181;34172;34053;34163;34177;34149;34180
5533087,117441,4,273090;231353;279753;272895,34180;34136;34183;34179
5533155,88986,8,254909;273090;233800;244973;279753;255764;231355;231723,34020;34180;34153;34174;34183;34177;34165;34172
5533477,141299,6,231332;231325;231355;244973;231338;231365,34164;34112;34076;34165;34053;34174
5533526,126074,7,231353;231332;231299;231345;231355;244973;231365,34136;34112;34149;34170;34165;34174;34053
5534242,121616,6,231332;231299;231345;231325;244973;231338,34149;34164;34112;34076;34170;34174
5534329,3609,5,231332;231299;231345;231355;244973,34149;34112;34170;34165;34174
5534952,117152,5,231355;231714;231339;231426;279753,34165;34171;34163;34007;34183
5535218,60177,0,,
5536210,130570,2,231299;231338,34149;34076
5536379,22722,2,231299;231338,34149;34076
5536648,16262,7,231353;231332;231345;231325;231355;244973;231338,34136;34112;34170;34164;34165;34174;34076
5537093,9919,7,231353;231332;231299;231345;231325;231355;231365,34136;34112;34149;34170;34164;34165;34053
5537108,118550,5,231332;231345;231325;231355;244973,34164;34112;34170;34165;34174
6460097,36183,5,231332;231299;231345;244973;231338,34149;34112;34076;34170;34174
5537490,127658,6,231353;231332;231325;231355;231365;231339,34164;34112;34163;34136;34165;34053
5538032,137307,6,231332;231299;244973;231338;231365;231339,34149;34112;34076;34163;34053;34174
5538189,141290,0,,
5538390,114889,3,272895;231338;231353,34179;34076;34136
5538789,114921,5,231332;231299;231345;231325;244973,34149;34164;34112;34170;34174
5538996,128667,9,278027;231426;231339;231345;244973;231338;272798;231714;233800,34181;34007;34163;34170;34174;34076;34178;34171;34153
5539281,57580,5,231332;231345;231325;231355;244973,34164;34112;34170;34165;34174
5539318,139997,2,231338;231353,34076;34136
5539615,31720,5,231332;231345;231325;231355;244973,34164;34112;34170;34165;34174
5539639,114883,5,231332;231325;231355;244973;231338,34164;34112;34076;34165;34174
5540402,121164,5,231332;231345;231325;231355;231338,34164;34112;34076;34170;34165
5540578,120154,4,231353;231332;244973;231365,34112;34136;34053;34174
5540604,137445,6,231353;231332;231345;231355;244973;231339,34112;34163;34170;34136;34165;34174
5540679,132526,6,231332;231299;231355;244973;231338;231365,34149;34112;34076;34165;34053;34174
5541649,109358,4,231299;272798;231365;272895,34149;34178;34053;34179
5541777,60142,8,231339;231355;231714;231365;272895;231353;231338;273090,34163;34165;34171;34053;34179;34136;34076;34180
5542011,141314,0,,
5542031,116744,6,231332;231345;231355;244973;231338;231339,34112;34076;34163;34170;34165;34174
5542528,30855,8,231332;231299;231345;231325;231355;244973;231338;231365,34112;34149;34170;34164;34165;34174;34076;34053
5542587,40615,7,231353;231332;231345;231355;244973;231338;231365,34136;34112;34170;34165;34174;34076;34053
5542681,54633,5,231332;231299;231345;231355;244973,34149;34112;34170;34165;34174
5542688,139775,3,231299;231338;231339,34149;34076;34163
5542697,115826,2,231329;231325,34101;34164
5542704,51213,6,231353;273090;233800;279753;231339;231355,34136;34180;34153;34183;34163;34165
5542707,12676,9,231714;272798;273090;231299;231353;254909;231365;231723;279753,34171;34178;34180;34149;34136;34020;34053;34172;34183
5542736,43687,3,231299;231338;231339,34149;34076;34163
5542747,131668,5,231332;231345;231355;244973;231338,34112;34076;34170;34165;34174
5542797,53104,2,231299;231338,34149;34076
5542812,118128,2,231299;231338,34149;34076
5542858,33610,3,231365;231345;231299,34053;34170;34149
5542906,26623,2,231329;231325,34101;34164
5542933,26578,6,231332;231345;231325;244973;231338;231365,34164;34112;34076;34170;34053;34174
5542950,132621,9,231299;272895;231365;231339;244973;231338;231714;231426;231345,34149;34179;34053;34163;34174;34076;34171;34007;34170
5542953,54707,4,273090;231353;231355;254909,34180;34136;34165;34020
5542961,22480,6,231332;231325;231355;244973;231338;231365,34164;34112;34076;34165;34053;34174
5542963,47249,3,231299;231338;231339,34149;34076;34163
5543013,12532,7,231299;231353;279753;231723;231355;254909;231426,34149;34136;34183;34172;34165;34020;34007
5543014,89237,4,231339;278027;231355;273090,34163;34181;34165;34180
5543039,24115,3,272895;231345;231723,34179;34170;34172
5543041,33703,8,231426;272895;272798;231338;278027;231723;231365;231345,34007;34179;34178;34076;34181;34172;34053;34170
5543042,4969,6,231353;231338;231299;254909;231345;278027,34136;34076;34149;34020;34170;34181
5543048,18939,3,231299;231338;231339,34149;34076;34163
5543077,62955,0,,
5543083,61006,3,231299;231338;231339,34149;34076;34163
5543099,117955,10,231723;231339;244973;273090;231426;254909;231355;231299;255764;233800,34172;34163;34174;34180;34007;34020;34165;34149;34177;34153
5543105,60190,7,231332;231345;231355;244973;231338;231365;231339,34112;34170;34165;34174;34076;34053;34163
5543106,43121,7,231332;231299;231345;231355;244973;231338;231365,34112;34149;34170;34165;34174;34076;34053
5543112,35798,10,255764;279753;231339;272895;254909;231355;233800;244973;231426;231338,34177;34183;34163;34179;34020;34165;34153;34174;34007;34076
5543125,41994,7,231299;231345;231325;231355;244973;231365;231339,34149;34170;34164;34165;34174;34053;34163
5543135,120784,3,231299;231338;231339,34149;34076;34163
5543154,33632,5,231332;231299;231345;231325;231338,34149;34164;34112;34076;34170
5543160,40243,5,254909;279753;231299;231339;231426,34020;34183;34149;34163;34007
5543161,134168,2,231325;231329,34164;34101
5543167,129051,8,231355;255764;231426;231365;231723;231353;273090;231345,34165;34177;34007;34053;34172;34136;34180;34170
5543171,37090,4,231355;231353;231714;273090,34165;34136;34171;34180
5543176,136725,10,272798;231353;244973;255764;279753;231355;233800;231299;278027;272895,34178;34136;34174;34177;34183;34165;34153;34149;34181;34179
5543178,63332,8,231299;278027;233800;231365;231714;231353;254909;231339,34149;34181;34153;34053;34171;34136;34020;34163
5543192,60963,10,231355;231338;231723;273090;244973;272798;231332;272895;231714;231426,34165;34076;34172;34180;34174;34178;34112;34179;34171;34007
5543203,10237,3,231299;231338;231339,34149;34076;34163
5543204,73707,5,231355;273090;231426;255764;231345,34165;34180;34007;34177;34170
5543207,19690,7,231332;231345;231355;244973;231338;231365;231339,34112;34170;34165;34174;34076;34053;34163
5543218,28950,9,231345;272895;278027;255764;244973;231332;231714;231355;273090,34170;34179;34181;34177;34174;34112;34171;34165;34180
5543225,117866,7,231332;231299;231345;231325;231355;244973;231339,34112;34149;34170;34164;34165;34174;34163
5543229,4209,7,231332;231345;231325;231355;244973;231338;231339,34112;34170;34164;34165;34174;34076;34163
5966808,113518,10,244973;278027;254909;231339;272895;231714;231355;231338;231332;231353,34174;34181;34020;34163;34179;34171;34165;34076;34112;34136
5543239,63769,4,244973;231339;278027;231332,34174;34163;34181;34112
5543240,5344,3,231299;231338;231339,34149;34076;34163
5543243,122438,6,231332;231345;231355;244973;231338;231365,34112;34076;34170;34165;34053;34174
5543248,49991,7,231353;244973;255764;254909;272798;231345;231332,34136;34174;34177;34020;34178;34170;34112
5543259,32494,1,233800,34153
5543261,134158,7,231332;231345;231325;231355;244973;231365;231339,34112;34170;34164;34165;34174;34053;34163
5543266,33742,9,231345;233800;231714;231365;244973;231332;255764;231339;231723,34170;34153;34171;34053;34174;34112;34177;34163;34172
5543287,42163,7,231332;231299;231325;231355;244973;231338;231365,34112;34149;34164;34165;34174;34076;34053
5543290,52172,5,231332;231325;231355;244973;231338,34164;34112;34076;34165;34174
5543295,113049,9,272798;231426;231299;231355;231723;255764;231339;231714;231338,34178;34007;34149;34165;34172;34177;34163;34171;34076
5543298,44007,2,231299;231338,34149;34076
5894961,36479,5,278027;231426;272895;254909;272798,34181;34007;34179;34020;34178
5543305,43251,10,255764;272895;231299;231332;231339;244973;231723;273090;231714;254909,34177;34179;34149;34112;34163;34174;34172;34180;34171;34020
5543310,19673,5,231332;231355;231345;279753;231723,34112;34165;34170;34183;34172
5543312,32816,1,252595,34176
5543313,120191,6,278027;279753;255764;233800;231723;231365,34181;34183;34177;34153;34172;34053
5543327,33591,3,231299;231338;231339,34149;34076;34163
5543337,9898,2,231325;231329,34164;34101
5543353,54204,6,272895;231339;255764;244973;231338;279753,34179;34163;34177;34174;34076;34183
5543364,24974,7,231332;231345;231325;231355;244973;231365;231339,34112;34170;34164;34165;34174;34053;34163
5543366,139064,5,231299;231345;231355;244973;231365,34149;34170;34165;34053;34174
5543373,40256,7,233800;231299;254909;231338;231345;278027;231723,34153;34149;34020;34076;34170;34181;34172
5543376,7031,6,231332;231345;231325;231355;244973;231338,34164;34112;34076;34170;34165;34174
5543379,40686,2,231338;231353,34076;34136
5543383,22487,7,233800;254909;231345;231332;231338;273090;244973,34153;34020;34170;34112;34076;34180;34174
5543400,15199,3,231299;231338;231339,34149;34076;34163
5543419,120558,7,231332;231299;231345;231355;244973;231338;231365,34112;34149;34170;34165;34174;34076;34053
5543422,23593,7,231332;231299;231345;231355;244973;231338;231365,34112;34149;34170;34165;34174;34076;34053
5543441,116582,7,231723;272798;255764;231714;231353;279753;272895,34172;34178;34177;34171;34136;34183;34179
5543443,42834,2,231299;231338,34149;34076
5543448,9012,6,231332;231299;231345;231355;244973;231365,34149;34112;34170;34165;34053;34174
5543455,43501,3,231338;244973;273090,34076;34174;34180
5543458,137866,4,231332;255764;273090;231723,34112;34177;34180;34172
5543466,38459,6,231332;231299;231345;231355;244973;231338,34149;34112;34076;34170;34165;34174
5543475,51009,2,231338;231339,34076;34163
5543486,9970,8,231338;231339;272895;272798;231365;254909;255764;244973,34076;34163;34179;34178;34053;34020;34177;34174
6249671,46683,6,231332;231299;231345;231355;244973;231365,34149;34112;34170;34165;34053;34174
5543494,23824,6,231299;279753;233800;231353;272798;231723,34149;34183;34153;34136;34178;34172
5925383,83151,3,231299;231338;231339,34149;34076;34163
5543506,41376,6,231714;231355;231332;279753;244973;273090,34171;34165;34112;34183;34174;34180
5543510,47449,5,254909;272798;255764;278027;244973,34020;34178;34177;34181;34174
5543512,120225,5,231332;231345;244973;231365;231339,34112;34163;34170;34053;34174
5543516,137577,4,231332;231345;231325;244973,34164;34112;34170;34174
5543530,113887,6,231353;231332;231345;231355;244973;231338,34112;34076;34170;34136;34165;34174
5543536,141316,6,231353;231345;231325;231355;244973;231339,34164;34163;34170;34136;34165;34174
5543542,27517,5,231332;231299;231345;231355;244973,34149;34112;34170;34165;34174
5543545,63732,4,255764;273090;231332;278027,34177;34180;34112;34181
5543549,2400,0,,
5543556,83761,5,272798;231355;278027;279753;231426,34178;34165;34181;34183;34007
5597672,28755,4,231299;231345;231355;244973,34149;34170;34165;34174
5543565,61226,2,231299;231338,34149;34076
5543568,63291,7,231338;231353;231299;272895;231332;231723;233800,34076;34136;34149;34179;34112;34172;34153
5543592,58158,6,231332;231299;231345;231355;244973;231365,34149;34112;34170;34165;34053;34174
5543603,32092,9,231338;255764;272798;231332;231723;231339;231365;278027;231714,34076;34177;34178;34112;34172;34163;34053;34181;34171
5543605,20316,9,231345;272798;233800;279753;278027;231332;231353;231299;231723,34170;34178;34153;34183;34181;34112;34136;34149;34172
5543612,31454,3,231723;254909;231339,34172;34020;34163
5543615,30854,0,,
5543621,114542,7,231332;231345;231325;231355;244973;231365;231339,34112;34170;34164;34165;34174;34053;34163
5543624,5331,7,231723;231332;279753;231355;244973;231338;231426,34172;34112;34183;34165;34174;34076;34007
5543629,51309,5,231345;231714;273090;272895;231426,34170;34171;34180;34179;34007
5543648,54640,6,231355;231299;231365;254909;231353;231345,34165;34149;34053;34020;34136;34170
5543651,129907,3,231714;231426;273090,34171;34007;34180
5543655,59176,10,231355;278027;231365;231345;255764;273090;272895;254909;231353;272798,34165;34181;34053;34170;34177;34180;34179;34020;34136;34178
5543658,33029,2,231299;231339,34149;34163
5543669,81454,6,231353;231332;231355;244973;231338;231365,34112;34076;34136;34165;34053;34174
6676942,10305,10,233800;255764;231426;272798;272895;231332;231353;231355;244973;278027,34153;34177;34007;34178;34179;34112;34136;34165;34174;34181
5543690,29951,5,231332;231299;244973;231338;231339,34149;34112;34076;34163;34174
5543699,120232,5,231332;231299;231345;231355;244973,34149;34112;34170;34165;34174
5543701,246,0,,
5543711,121353,6,231332;231299;231345;231325;231338;231365,34149;34164;34112;34076;34170;34053
5543720,22700,4,233800;231338;273090;279753,34153;34076;34180;34183
5543721,117015,4,272798;272895;231426;231723,34178;34179;34007;34172
5543731,52245,1,252595,34176
5543741,133117,6,231332;231345;231325;244973;231338;231365,34164;34112;34076;34170;34053;34174
5543748,32470,6,231299;231345;231355;244973;231338;231365,34149;34076;34170;34165;34053;34174
5543751,9560,10,231332;272895;231339;233800;231355;244973;231723;231338;273090;278027,34112;34179;34163;34153;34165;34174;34172;34076;34180;34181
5543759,43999,3,233800;231299;231714,34153;34149;34171
5543764,138776,6,231299;272798;231426;273090;244973;231365,34149;34178;34007;34180;34174;34053
5543774,96949,7,231339;278027;231426;279753;254909;255764;231714,34163;34181;34007;34183;34020;34177;34171
5543775,28416,3,231299;231338;231339,34149;34076;34163
5543779,13040,7,231353;231332;231299;231345;231325;231355;244973,34136;34112;34149;34170;34164;34165;34174
5543780,112015,7,231332;231299;231345;231355;244973;231338;231365,34112;34149;34170;34165;34174;34076;34053
5543789,25132,5,272798;231365;231426;231723;231714,34178;34053;34007;34172;34171
5543792,31613,9,231332;231426;231345;244973;231365;279753;278027;233800;255764,34112;34007;34170;34174;34053;34183;34181;34153;34177
5543793,129456,6,231299;231345;231325;231355;231338;231365,34149;34164;34076;34170;34165;34053
5543794,113580,7,231332;231345;231325;231355;244973;231338;231339,34112;34170;34164;34165;34174;34076;34163
5543797,65395,7,231353;231332;231345;231325;231355;244973;231338,34136;34112;34170;34164;34165;34174;34076
5543799,21415,4,231332;231426;233800;231365,34112;34007;34153;34053
5543801,133360,3,231714;254909;272895,34171;34020;34179
6360901,54445,6,231332;231299;231345;231325;231355;244973,34149;34164;34112;34170;34165;34174
5543818,137656,6,231332;231325;231355;244973;231338;231365,34164;34112;34076;34165;34053;34174
5543827,76874,8,255764;273090;231332;272895;231355;231723;279753;231338,34177;34180;34112;34179;34165;34172;34183;34076
5543838,139971,6,231353;231332;231345;231325;231355;244973,34164;34112;34170;34136;34165;34174
5543839,36764,10,231365;231355;272798;231339;231714;233800;231426;255764;244973;231332,34053;34165;34178;34163;34171;34153;34007;34177;34174;34112
5543841,4351,7,278027;272798;231353;231723;255764;273090;272895,34181;34178;34136;34172;34177;34180;34179
5543852,85385,8,231353;231332;231345;231325;231355;244973;231365;231339,34136;34112;34170;34164;34165;34174;34053;34163
5543862,141319,0,,
5543865,424,6,231332;231299;231345;231325;231355;244973,34149;34164;34112;34170;34165;34174
5543866,57856,3,231299;231338;231339,34149;34076;34163
5543874,12403,9,231723;231339;231338;231355;254909;231353;272895;231332;279753,34172;34163;34076;34165;34020;34136;34179;34112;34183
5543879,15142,6,231332;231345;231355;244973;231338;231365,34112;34076;34170;34165;34053;34174
5543893,247,3,231299;231338;231339,34149;34076;34163
5543894,112167,6,231332;231299;231345;231355;244973;231338,34149;34112;34076;34170;34165;34174
5543896,2593,5,231299;278027;272798;279753;254909,34149;34181;34178;34183;34020
5543897,19309,6,231332;231325;231355;244973;231338;231365,34164;34112;34076;34165;34053;34174
5543902,32823,5,231426;231338;231345;279753;244973,34007;34076;34170;34183;34174
5543905,54785,8,272895;231345;231338;254909;278027;231332;231426;231723,34179;34170;34076;34020;34181;34112;34007;34172
5543908,8925,8,244973;272895;231345;272798;279753;231332;231355;231714,34174;34179;34170;34178;34183;34112;34165;34171
5543921,11254,2,231338;231339,34076;34163
5811607,124691,5,231353;231338;244973;231355;231426,34136;34076;34174;34165;34007
6331397,129894,6,244973;272895;279753;231299;231345;231355,34174;34179;34183;34149;34170;34165
5543933,118580,7,231353;231332;231299;231345;231355;244973;231365,34136;34112;34149;34170;34165;34174;34053
5543935,140357,6,231332;231299;244973;231338;231365;231339,34149;34112;34076;34163;34053;34174
5543940,144,9,231355;279753;231353;273090;231299;272895;231365;255764;231339,34165;34183;34136;34180;34149;34179;34053;34177;34163
5543949,129858,8,231338;279753;254909;231299;231345;231714;231332;272798,34076;34183;34020;34149;34170;34171;34112;34178
5543950,57143,8,231338;272895;231353;254909;231365;231339;244973;279753,34076;34179;34136;34020;34053;34163;34174;34183
5543956,82667,6,231332;231345;231325;231355;231338;231365,34164;34112;34076;34170;34165;34053
5543979,44747,7,272798;272895;233800;255764;231714;244973;231353,34178;34179;34153;34177;34171;34174;34136
5543984,51371,2,231329;231325,34101;34164
5543989,20388,3,231339;279753;231338,34163;34183;34076
